日付,摘要,金額
2026-01-08,コンサルティングフィー入金 A社,280000
2026-01-10,事務所家賃,-45000
2026-01-15,借入金 元利返済,-32000
2026-01-20,通信費 携帯・インターネット,-8500
2026-01-25,消耗品費 事務用品,-4200
2026-02-08,コンサルティングフィー入金 A社,280000
2026-02-10,事務所家賃,-45000
2026-02-15,借入金 元利返済,-32000
2026-02-18,会議費 打合せ飲食,-6800
2026-02-20,通信費 携帯・インターネット,-8500
2026-03-08,コンサルティングフィー入金 A社,280000
2026-03-08,資産運用 配当金入金,15000
2026-03-10,事務所家賃,-45000
2026-03-15,借入金 元利返済,-32000
2026-03-20,通信費 携帯・インターネット,-8500
2026-03-28,租税公課 印紙代,-2000
2026-04-08,コンサルティングフィー入金 A社,280000
2026-04-10,事務所家賃,-45000
2026-04-15,借入金 元利返済,-32000
2026-04-20,通信費 携帯・インターネット,-8500
2026-04-22,新聞図書費 業界誌購読,-3600
2026-05-08,コンサルティングフィー入金 A社,280000
2026-05-08,コンサルティングフィー入金 B社（単発）,150000
2026-05-10,事務所家賃,-45000
2026-05-15,借入金 元利返済,-32000
2026-05-20,通信費 携帯・インターネット,-8500
2026-05-25,消耗品費 PC周辺機器,-18000
2026-06-08,コンサルティングフィー入金 A社,280000
2026-06-10,事務所家賃,-45000
2026-06-15,借入金 元利返済,-32000
2026-06-18,会議費 打合せ飲食,-5200
2026-06-20,通信費 携帯・インターネット,-8500
2026-07-08,コンサルティングフィー入金 A社,280000
2026-07-08,資産運用 配当金入金,15000
2026-07-10,事務所家賃,-45000
2026-07-15,借入金 元利返済,-32000
2026-07-20,通信費 携帯・インターネット,-8500
2026-07-30,保険料 法人向け損害保険,-24000
2026-08-08,コンサルティングフィー入金 A社,280000
2026-08-10,事務所家賃,-45000
2026-08-15,借入金 元利返済,-32000
2026-08-20,通信費 携帯・インターネット,-8500
2026-08-22,消耗品費 事務用品,-3100
